[2022-12-06 20:30:39,683][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 367]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:30:39,937][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 367]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:30:40,163][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 367]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:30:40,363][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 367]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:30:40,584][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 367]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:30:40,796][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 367]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:30:41,051][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 367]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:30:41,267][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 367]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:30:41,471][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 367]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:30:41,676][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 367]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:30:41,900][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 367]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:30:42,136][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 367]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:30:42,340][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 367]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:30:42,567][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 367]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:30:42,794][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 367]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:30:43,018][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 367]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:30:43,284][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 367]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:30:43,511][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 367]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:30:43,726][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 367]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:30:43,940][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 367]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:30:44,153][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 367]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:30:44,383][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 367]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:30:44,602][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 367]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:30:44,826][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 367]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:30:45,038][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 367]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:30:45,250][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 367]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:30:45,492][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 367]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:30:45,722][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 367]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:30:45,917][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 367]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:30:46,126][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 367]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:30:46,342][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 367]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:30:46,596][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 367]. Convert image to uint8 prior to saving to suppress this warning.
